"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","x","y","geometry"
"2265",0.963541687,"XY",2023-12-29,2023,12,2024,"S88-104",994499.999998691,6540499.99999981,c(994499.999998691, 6540499.99999981)
"2266",0.692708313,"XX",2023-12-29,2023,12,2024,"S75-055",904499.999998825,6410499.99999986,c(904499.999998825, 6410499.99999986)
"2267",0.625,"XY",2023-12-29,2023,12,2024,"S86-024",949499.999998758,6330499.99999989,c(949499.999998758, 6330499.99999989)
"2268",0.791666687,"XX",2023-12-29,2023,12,2024,"S72-022",964499.999998736,6330499.99999989,c(964499.999998736, 6330499.99999989)
"2270",0.921875,"XX",2023-12-29,2023,12,2024,"S86-062",994499.999998691,6355499.99999988,c(994499.999998691, 6355499.99999988)
"2271",0.989583313,"XY",2023-12-29,2023,12,2024,"S88-056",994499.999998691,6540499.99999981,c(994499.999998691, 6540499.99999981)
"2272",1,"XX",2023-12-30,2023,12,2024,"S86-062",988499.9999987,6354499.99999988,c(988499.9999987, 6354499.99999988)
"2273",1,"XY",2023-12-30,2023,12,2024,"S86-023",933499.999998782,6589499.99999979,c(933499.999998782, 6589499.99999979)
"2274",0.911458313,"XX",2023-12-30,2023,12,2024,"S83-029",991499.999998695,6358499.99999988,c(991499.999998695, 6358499.99999988)
"2275",0.947916687,"XX",2023-12-30,2023,12,2024,"S55-17",894499.99999884,6415499.99999986,c(894499.99999884, 6415499.99999986)
"2276",0.833333313,"XY",2023-12-31,2023,12,2024,"S84-005",960499.999998742,6444499.99999985,c(960499.999998742, 6444499.99999985)
"2277",0.703125,"XY",2024-01-01,2024,1,2024,"S73-026",1004499.99999868,6350499.99999988,c(1004499.99999868, 6350499.99999988)
"2278",0.640625,"XY",2024-01-01,2024,1,2024,"S86-023",936499.999998778,6593499.99999979,c(936499.999998778, 6593499.99999979)
"2279",0.828125,"XY",2024-01-02,2024,1,2024,"S81-140",609499.999999265,6155499.99999995,c(609499.999999265, 6155499.99999995)
"2280",0.90625,"XY",2024-01-02,2024,1,2024,"S58-61",913499.999998812,6419499.99999986,c(913499.999998812, 6419499.99999986)
"2281",0.979166687,"XY",2024-01-02,2024,1,2024,"S87-030",894499.99999884,6340499.99999989,c(894499.99999884, 6340499.99999989)
"2282",1,"XY",2024-01-02,2024,1,2024,"S88-071",924499.999998795,6310499.9999999,c(924499.999998795, 6310499.9999999)
"2283",0.588541687,"XX",2024-01-03,2024,1,2024,"S86-127",929499.999998788,6600499.99999979,c(929499.999998788, 6600499.99999979)
"2284",0.890625,"XY",2024-01-03,2024,1,2024,"S83-080",644499.999999213,6175499.99999995,c(644499.999999213, 6175499.99999995)
"2285",1,"XY",2024-01-03,2024,1,2024,"S86-084",974499.999998721,6510499.99999982,c(974499.999998721, 6510499.99999982)
"2286",0.8125,"XY",2024-01-03,2024,1,2024,"S86-024",948499.99999876,6334499.99999989,c(948499.99999876, 6334499.99999989)
"2287",0.583333313,"XY",2024-01-04,2024,1,2024,"S86-097",964499.999998736,6320499.99999989,c(964499.999998736, 6320499.99999989)
"2288",0.729166687,"XX",2024-01-04,2024,1,2024,"S61-30",964499.999998736,6325499.99999989,c(964499.999998736, 6325499.99999989)
"2289",1,"XX",2024-01-04,2024,1,2024,"S78-043",953499.999998752,6444499.99999985,c(953499.999998752, 6444499.99999985)
"2290",1,"XY",2024-01-04,2024,1,2024,"S84-005",951499.999998755,6444499.99999985,c(951499.999998755, 6444499.99999985)
"2291",0.734375,"XX",2024-01-04,2024,1,2024,"S86-040",963499.999998737,6329499.99999989,c(963499.999998737, 6329499.99999989)
"2292",0.958333313,"XX",2024-01-04,2024,1,2024,"S86-099",964499.999998736,6325499.99999989,c(964499.999998736, 6325499.99999989)
"2293",1,"XX",2024-01-04,2024,1,2024,"S83-007",1009499.99999867,6335499.99999989,c(1009499.99999867, 6335499.99999989)
"2294",0.994791687,"XX",2024-01-04,2024,1,2024,"S61-30",963499.999998737,6329499.99999989,c(963499.999998737, 6329499.99999989)
"2295",1,"XY",2024-01-04,2024,1,2024,"S86-014",823499.999998946,6629499.99999978,c(823499.999998946, 6629499.99999978)
"2296",0.958333313,"XY",2024-01-04,2024,1,2024,"S86-098",964499.999998736,6320499.99999989,c(964499.999998736, 6320499.99999989)
"2297",0.989583313,"XY",2024-01-04,2024,1,2024,"S87-118",939499.999998773,6585499.9999998,c(939499.999998773, 6585499.9999998)
"2298",1,"XY",2024-01-06,2024,1,2024,"S86-128",764499.999999034,6365499.99999988,c(764499.999999034, 6365499.99999988)
"2300",1,"XY",2024-01-08,2024,1,2024,"S86-058",979499.999998713,6305499.9999999,c(979499.999998713, 6305499.9999999)
"2301",1,"XY",2024-01-08,2024,1,2024,"S87-044",999499.999998684,6370499.99999987,c(999499.999998684, 6370499.99999987)
"2302",1,"XY",2024-01-08,2024,1,2024,"S87-044",998499.999998685,6374499.99999987,c(998499.999998685, 6374499.99999987)
"2303",0.869791687,"XY",2024-01-08,2024,1,2024,"S86-080",984499.999998706,6405499.99999986,c(984499.999998706, 6405499.99999986)
"2304",0.932291687,"XX",2024-01-08,2024,1,2024,"S82-123",1069499.99999858,6325499.99999989,c(1069499.99999858, 6325499.99999989)
"2305",0.5625,"XX",2024-01-08,2024,1,2024,"S86-054",984499.999998706,6305499.9999999,c(984499.999998706, 6305499.9999999)
"2306",0.708333313,"XX",2024-01-08,2024,1,2024,"S74-006",1019499.99999865,6350499.99999988,c(1019499.99999865, 6350499.99999988)
"2307",0.619791687,"XY",2024-01-08,2024,1,2024,"S86-024",946499.999998763,6333499.99999989,c(946499.999998763, 6333499.99999989)
"2308",0.78125,"XY",2024-01-09,2024,1,2024,"S71-044",934499.99999878,6610499.99999979,c(934499.99999878, 6610499.99999979)
"2309",0.989583313,"XX",2024-01-09,2024,1,2024,"S86-056",964499.999998736,6235499.99999992,c(964499.999998736, 6235499.99999992)
"2310",0.541666687,"XX",2024-01-09,2024,1,2024,"S82-062",964499.999998736,6235499.99999992,c(964499.999998736, 6235499.99999992)
"2312",0.96875,"XX",2024-01-09,2024,1,2024,"S78-081",929499.999998788,6390499.99999987,c(929499.999998788, 6390499.99999987)
"2313",1,"XY",2024-01-09,2024,1,2024,"S78-075",1029499.99999864,6345499.99999988,c(1029499.99999864, 6345499.99999988)
